Program,Organization Name,Domain Name,Service Factor,Service Type,Street,City,Zip,Phone,Alternate Phone,Fax,Office Hours,Website,Contact Person,Contact Email,General Eligibility, Eligibility Notes,Ages Served,Program Duplication Permitted,Location Eligibility ,Alternative Address,Services Provided,Services Notes,Service Hours,Service Hours Details,Evidence Based,Fees,Duration/Length of Service,Referral Type,Preferred Referral Type,Schedule Availability,Referral Form Provided,Waitlist,Screening Tools Used:,Referral Source Response Time,Notes/Comments
Greensboro Heals,Kellin Foundation,,,Adult Mental Health Services,2110 Golden Gate Dr. Suite B,Greensboro ,27405,336-429-5600,,,,http://www.kellinfoundation.org/,,,Ages 19-64,,,,,,,aims to provide uninsured individuals ages 19-64 with free mental health and substance abuse services.,,,,,,,,,,,,,
ACES ,Guilford County Schools,,,After-School Programs,130 Franklin Blvd,Greensboro ,27401,336-370-2321,,,,https://www.gcsnc.com/domain/2404,,,GCS Student,,,,,,,"The ACES Program provides a balance of academic, enrichment and recreational after-school activities that help children develop curiosity, creativity and character.",,,,,,,,,,,,,
Safe Guilford,Moses Cone Hospital Trauma Center,,,Car Seat Assistance,1200 N Elm St,Greensboro ,27401,336-832-3939,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
Ready to Ride,YWCA HP,,,Car Seat Assistance,155 W Westwood Ave,High Point,27262,336-882-4126,,,,https://ywcahp.com/,,,,,,,,,,Car Seats provided for $20,,,,,,,,,,,,,
Child Response Initiative,Kellin Foundation,,,Child and Family Mental Health,2110 Golden Gate Dr. Suite B,Greensboro ,27405,336-429-5600,,,,http://www.kellinfoundation.org/,,,Children 0-18 and their families who have experienced any type of trauma or violence,,,,,,,,,,,,,,,,,,,,
Treehouse Trauma Recovery Program,Kellin Foundation,,,Child and Family Mental Health,2110 Golden Gate Dr. Suite B,Greensboro ,27405,336-429-5600,,,,http://www.kellinfoundation.org/,,,"Children, Adolescent, and Families",,,,,,,"provides community-based, trauma-informed services for children, adolescents, and families exposed to family violence, domestic violence, or other traumatic or stressful live events.",,,,,,,,,,,,,
,Family Solutions,,,Child and Family Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC A&T Behavioral Health and Wellness,NC A&T Behavioral Health and Wellness,,,Child and Family Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Department,Guilford County DHHS,,,Childbirth Classes,1100 East Wendover Avenue,Greensboro,27405,336-641-4718,,,,,,,Expectant Mothers,,,,,,,Childbirth classes on Tuesday Evenings,,,,,,,,,,,,,
Birth and Baby,Cone Health Women's Hospital,,,Childbirth Classes,801 Green Valley Rd. ,Greensboro,27408,336-832-6682,336-832-6848,,,,,,Expectant Mothers,,,,,,,"Childbirth class options: 5 sessions, 2 Sessions, or online",,,,,,,,,,,,,
Teen Childbirth Classes,YWCA (Greensboro),,,Childbirth Classes,,,,336-273-3461,,,,,,,Teen Parents,,,,,,,Meets Thursday Nights for 7 sessions,,,,,,,,,,,,,
Adult Childbirth Classes,YWCA (Greensboro),,,Childbirth Classes,,,,336-493-1907,,,,,,,Adults (20-30 years),,,,,,,Meets Monday Nights for 7 Sessions,,,,,,,,,,,,,
Early Headstart,Guilford Child Development,,,Childcare Assistance,1200 Arlington Street,Greensboro,27406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC Pre-k,Guilford County Partnership for Children,,,Childcare Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baby Box Program - Family Success Network,,,Crib/Pack and Play,,,,336-832-6507,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby Basics Closet,YWCA (High Point),,,Diapers,155 W. Westwood Ave,High Point,27262,(336) 882-4126,,,,,,,,,,,,,,Offers diapers and clothes for babies,,,,,,,,,,,,,
,Baby Basics Closet - YWCA,,,Diapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family Justice Center,,,Domestic Violence/IPV,201 South Greene St. (2nd Floor) ,Greensboro,27401,336-641-7233 / 336-641-2339 (direct),,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
,Family Justice Center,,,Domestic Violence/IPV,505 E. Green Dr. ,High Point,27260,336-641-2889,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
24 Hour Crisis Hotline,Family Service of the Piedmont,,,Domestic Violence/IPV,,,,GSO 336-889-7273; HP 336-273-7273,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
,Welfare Reform Liasion Project,,,Education Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welfare Reform Liasion Project,Welfare Reform Liasion Project,,,Education Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Alexander Center of Hope - Emergency Shelter,Salvation Army ,,,Emergency Shelter,301 W. Green Dr. ,High Point ,27260,,,,,,,,"Men, Women",,,,,,,,,,,,,,,,,,,,
,IRC Emergency,,,Emergency Shelter,407 E. Washington St. ,Greensboro,27401,336-332-0824,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
Emergency Shelter,YWCA Greensboro,,,Emergency Shelter - White Flag,1807 E. Wendover Ave. ,Greensboro,27405,336-333-0175,,,,,,,Families,,,,,,,,,,,,,,,,,,,,
Emergency Shelter,GSO Parks & Recs,,,Emergency Shelter - White Flag,Locations Vary,,,,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
Weaver House Extension,Greensboro Urban Ministry,,,Emergency Shelter - White Flag,305 W. Gate City Blvd.,Greensboro,27406,336-553-2665,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
,Guilford County Dept. of Public Health (Lead Concerns),,,Environmental ,,,,336-641-3771,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greensboro City Limits - Fire & Safety (Smoke Alarm Check),,,Environmental ,,,,336-373-2576,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Credit Counseling (FSP),,,Financial Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,Greensboro Center of Hope,,,Food/Nutrition Assistance, 1311 S. Eugene Street,Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,St. Paul the Apostle,,,Food/Nutrition Assistance,2715 Horse Pen Creek Rd.,Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,Blessed Table Pantry,,,Food/Nutrition Assistance,3210 Summit Avenue,Greensboro,27405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,St. Paul Baptist Church,,,Food/Nutrition Assistance,1309 Larkin Street Greensboro,Greensboro,27406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,Ward Street Community Resources,,,Food/Nutrition Assistance,1619 West Ward Avenue,High Point,27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,Greensboro Urban Ministries,,,Food/Nutrition Assistance,305 West Lee Street,Greensboro,27406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Pantry,Fairfield United Methodist Church ,,,Food/Nutrition Assistance,1505 Hwy 62 West (Near Southern Guilford High School),Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture Bank,Barnabas Network,,,Furniture Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC4C,Guilford County DHHS,,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Management for High Risk Pregnancy (formerly Pregnancy Care Management),Guilford County DHHS,,,Home Visiting,1100 East Wendover Ave. ,Greensboro,27405,336-641-3700,,,,,,,"available to pregnant women enrolled in North Carolina Medicaid and to a limited number of low income, uninsured pregnant women",,,,,,,,,,,,,,,,,,,,
Healthy Start Triad Baby Love Plus ,Piedmont Health Sickle Cell Agency,,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilford Family Connects,Guilford County DHHS,,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurse Family Partnership,Guilford Child Development,,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thriving at Three,Center for New North Carolinians (UNCG),,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teen Parent Mentor Program,YWCA Greensboro ,,,Home Visiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Start ,Family Services of the Piedmont,,,Home Visiting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeless Shelter,Open Door Ministries,,,Homeless Shelters,400 N. Centennial St. ,High Point ,27262,336-885-0191,,,,,,,Men,,,,,,,,,,,,,,,,,,,,
Weaver House,Greensboro Urban Ministry,,,Homeless Shelters,305 W. Gate City Blvd.,Greensboro,27406,336-553-2665,,,,,,,Men & Women; No Children,,,,,,,,,,,,,,,,,,,,
Center of Hope,Salvation Army ,,,Homeless Shelters,1311 S. Eugene St. ,Greensboro,27406,336-235-0348 opt. 3; opt 2 shelter intake,,,,,,,"Men, Women, Families",,,,,,,,,,,,,,,,,,,,
Fred Alexander Center of Hope - Shelter Plus,Salvation Army ,,,Homeless Shelters,301 W. Green Dr. ,High Point ,27260,,,,,,,,"Men, Women, Families",,,,,,,,,,,,,,,,,,,,
*Group of Churches*,Guilford Interfaith Hospitality Network,,,Homeless Shelters,,,,,,,,,,,*Create Word  document,,,,,,,,,,,,,,,,,,,,
,IRC Day Center,,,Homeless Shelters,407 E. Washington St. ,Greensboro,27401,,,,,,,,Anyone,,,,,,,,,,,,,,,,,,,,
Immigration Clinic,Elon Law School Immigration Clinic,,,Immigration,2010 W. Friendly Ave.,Greensboro,,336-279-9299,,,,,,,Immigrants,,,,,,,,,,,,,,,,,,,,
,Church World Service,,,Immigration,122 N. Elm St. Suite 607,Greensboro,27401,336-676-4223,,,,,,,Immigrants,,,,,,,"Permanent Residency, Travel Documents, Naturalization",,,,,,,,,,,,,
Americorps Access Project,Center for New North Carolinians (UNCG),,,Immigration,915 W. Gate City Blvd. ,Greensboro,27403,336-334-5411,,,,,,,Immigrants,,,,,,,Help with Employment or whatever client needs,,,,,,,,,,,,,
Immigrant Health Access Project,Center for New North Carolinians (UNCG),,,Immigration,915 W. Gate City Blvd. ,Greensboro,,,,,,,,,Immigrants,,,,,,,Facilitate integrative care and case management,,,,,,,,,,,,,
Immigrant Service Program,Center for New North Carolinians (UNCG),,,Immigration,915 W. Gate City Blvd. ,Greensboro,,,,,,,,,Immigrants,,,,,,,"Citizenship, familly immigration, permanent residence, finance, petition, and travel documents",,,,,,,,,,,,,
Interpreter Access Program,Center for New North Carolinians (UNCG),,,Immigration,915 W. Gate City Blvd. ,Greensboro,,,,,,,,,Immigrants,,,,,,,Provide an interpreter to attend health and human service appointments,,,,,,,,,,,,,
,Montagnard Dega Association,,,Immigration,611 Summit Ave. Suite 10,Greensboro,27405,336-373-1812,,,,www.montagnardda.org,,,Montagnard Families,,,,,,,Assist Montagnard families with all needs,,,,,,,,,,,,,
,World Relief,,,Immigration,155 N. Point Ave. Suite 102,High Point,27262,336-887-9007,,,,,,,Immigrants,,,,,,,"Immigration services, employment, refugee resettlement, health and wellness, anti-human trafficking",,,,,,,,,,,,,
,NC African Services Coalition,,,Immigration,122 N. Elm St. Suite 1010,Greensboro,27401,336-574-2677,,,,,,,Immigrants,,,,,,,"Resettlement, employment, case management, legal assistance",,,,,,,,,,,,,
,Faith Action House,,,Immigration,705 N. Greene St. ,Greensboro,27401,336-379-0037,,,,,,,Immigrants,,,,,,,"Basic needs, faith action id cards, education and employment info, emergency assistance, referrals for furniture, clothing, and legal services",,,,,,,,,,,,,
,Latino Family Center,,,Immigration,155 W. Westwood Ave. ,High Point,27262,336-882-4126,,,,,,,Latino Families,,,,,,,"Teen programs, DACA renewals, immigration, education courses for families, financial literacy planning, nutrition",,,,,,,,,,,,,
